run_id,model,segment,curve,alpha,epsilon_smooth,epsilon_bound,auc,m0,m1,m2,viol_m0,viol_m1,viol_m2,n_triples
20251217_184957,autumn,ALL,Inserted-only,0.5,0.01,0.02,0.9365047865186318,0.8218834884886205,0.9508953295181835,0.958833302565996,0.17811651151137953,0.04910467048181655,0.04116669743400403,37919
20251217_184957,autumn,ALL,Mixed-stream,0.5,0.01,0.02,0.7408034230860518,0.5234578970964424,0.7800838629710699,0.8118884991692819,0.4765421029035576,0.2199161370289301,0.18811150083071815,37919
20251217_184957,autumn,ALL,Upsampled,0.5,0.01,0.02,0.9649397399720457,0.8253645929481263,0.9788496532081542,0.9827527097233577,0.17463540705187375,0.021150346791845798,0.01724729027664229,37919
20251217_184957,chauffeur,ALL,Inserted-only,0.5,0.01,0.02,0.9902291727102505,0.9786123051768243,0.9915082148790844,0.9936443471610539,0.021387694823175707,0.00849178512091564,0.006355652838946124,37919
20251217_184957,chauffeur,ALL,Mixed-stream,0.5,0.01,0.02,0.5259955431314116,0.42561776418154484,0.5332946543948944,0.6001213112160131,0.5743822358184552,0.46670534560510557,0.3998786887839869,37919
20251217_184957,chauffeur,ALL,Upsampled,0.5,0.01,0.02,0.9997369392652761,0.9991297238851236,0.9998417679791134,0.9998945119860756,0.0008702761148764449,0.00015823202088660615,0.0001054880139244041,37919
20251217_184957,komanda,ALL,Inserted-only,0.5,0.01,0.02,0.9930457026820327,0.9836493578417153,0.9943300192515625,0.9949365753316279,0.016350642158284745,0.0056699807484374976,0.005063424668372063,37919
20251217_184957,komanda,ALL,Mixed-stream,0.5,0.01,0.02,0.4560108388934306,0.32498219889765023,0.47583005880956775,0.5247501252670166,0.6750178011023498,0.5241699411904323,0.4752498747329834,37919
20251217_184957,komanda,ALL,Upsampled,0.5,0.01,0.02,0.9994343205253304,0.9962551755056832,0.9996835359582268,0.9997890239721512,0.0037448244943167897,0.0003164640417732123,0.0002109760278488082,37919
20251217_184957,rambo,ALL,Inserted-only,0.5,0.01,0.02,0.7890701231572563,0.4245365120388196,0.8406076109602046,0.8581977372821014,0.5754634879611804,0.15939238903979536,0.14180226271789864,37919
20251217_184957,rambo,ALL,Mixed-stream,0.5,0.01,0.02,0.34715182362404073,0.12845802895645983,0.38819589124185766,0.40541680951501885,0.8715419710435401,0.6118041087581423,0.5945831904849812,37919
20251217_184957,rambo,ALL,Upsampled,0.5,0.01,0.02,0.7042564413618503,0.363801788021836,0.759408212241884,0.7921886125688968,0.636198211978164,0.24059178775811596,0.20781138743110317,37919
20251217_184957,ALL,ALL,Inserted-only,0.5,0.01,0.02,0.9272124462670428,0.8021704158864948,0.9443352936522588,0.9514029905851947,0.19782958411350515,0.05566470634774123,0.04859700941480527,151676
20251217_184957,ALL,ALL,Mixed-stream,0.5,0.01,0.02,0.5174904071837338,0.35062897228302436,0.5443511168543474,0.5855441862918326,0.6493710277169756,0.45564888314565255,0.4144558137081674,151676
20251217_184957,ALL,ALL,Upsampled,0.5,0.01,0.02,0.9170918602811255,0.7961378200901923,0.9344457923468446,0.9436562145626203,0.2038621799098077,0.06555420765315545,0.05634378543737972,151676
