file,suite,variant,score_composed,score_route,score_penalty,n_collisions,n_outside_route_lanes,n_red_light,n_route_timeout,n_vehicle_blocked,n_records
42routes_gauss16_20260214_120217.json,42routes,gauss16,63.03620793440198,73.0522322415148,0.8446698453585045,1.8194690404505824,0.17191340888142242,0.5781840865642736,4.007184049290305,0.9510500004146436,42
42routes_gauss8_20260214_120201.json,42routes,gauss8,69.39497419254629,78.95589907954297,0.8640569349380365,1.7337064384315652,0.20950994937417336,0.4055255971997186,2.1219629081477214,1.042480713297215,42
42routes_high_fps_20260219_161007.json,42routes,high_fps,,,,0.0,0.0,0.0,0.0,0.0,0
42routes_high_fps_20260304_124212.json,42routes,high_fps,66.6529911708621,79.58711647592833,0.8476785714285716,1.3229360415391294,0.0,0.7652627390798565,2.7344662368381316,0.4877482033654902,42
42routes_high_fps_high_res_20260219_161243.json,42routes,high_fps_high_res,,,,0.0,0.0,0.0,0.0,0.0,0
42routes_high_fps_high_res_20260307_143033.json,42routes,high_fps_high_res,61.43735131565195,77.669418883914,0.7765219425752926,2.4765370586028252,0.4708236655039111,1.6147080425510987,2.8804092080855668,0.24685298680221118,42
42routes_high_fps_high_res_no_noise_20260219_161303.json,42routes,high_fps_high_res_no_noise,,,,0.0,0.0,0.0,0.0,0.0,0
42routes_high_fps_high_res_no_noise_20260307_164729.json,42routes,high_fps_high_res_no_noise,59.92427842814825,73.21856068668373,0.8168895724422361,2.0351285699048556,0.23571143761212854,1.324679655574109,2.8828514133438086,1.2442265650417266,42
42routes_high_fps_no_noise_20260304_124230.json,42routes,high_fps_no_noise,65.74888176701704,80.44681359395464,0.8096428571428573,2.1161156061727997,0.0,0.8912173425527722,2.6026075792962033,0.4877482033654902,42
42routes_high_res_20260210_170401.json,42routes,high_res,62.251826742751554,84.30175454758714,0.726625,2.4732400011608333,0.0,1.2766104346081464,2.2589210768723706,0.12304942196770269,42
42routes_high_res_no_noise_20260210_170511.json,42routes,high_res_no_noise,65.44374812067392,84.28277717689194,0.783943298171881,1.1459776246289892,0.08923523870364444,1.3057408573314178,2.72573463826707,0.0,42
42routes_no_noise_20260210_170523.json,42routes,no_noise,72.57049377308086,84.60862669521481,0.8406744167816884,2.1664258131197784,0.3820900034631072,0.3759374137918644,1.7804754190812735,0.4040257407931027,42
42routes_none_20260228_083235.json,42routes,none,,,,0.0,0.0,0.0,0.0,0.0,1
town05_gauss16.json,town05,gauss16,30.79790380513763,41.24778240290001,0.7579999999999999,0.1642744140004483,0.0,0.0,0.34809992868384065,0.0,10
town05_gauss8.json,town05,gauss8,52.21987739144555,62.22621051801421,0.7651999999999999,0.1499627733964591,0.0,0.02092694381682043,0.18541987184119907,0.0,10
town05_high_fps_20260204_182243.json,town05,high_fps,52.22069671404093,64.65247604422662,0.79,0.041730944186681274,0.0,0.05982930422482637,0.1775064555342558,0.0,10
town05_high_fps_high_res_20260204_182333.json,town05,high_fps_high_res,31.554003332500493,57.29548815557473,0.5645999999999999,0.11494222417112951,0.0,0.20958309802049707,0.1573227190385963,0.05189267013201545,10
town05_high_fps_high_res_no_noise_20260304_124150.json,town05,high_fps_high_res_no_noise,41.272315972579335,66.51561611995844,0.6249999999999999,0.01882958803423854,0.0,0.18377598942787907,0.11581105653165591,0.052192595665442286,10
town05_high_fps_no_noise_20260304_124125.json,town05,high_fps_no_noise,52.34227148690377,68.74215808663085,0.8068,0.06901646792884025,0.0,0.00786220408216051,0.27732991639207183,0.0,10
town05_high_res_20260204_182303.json,town05,high_res,31.8574516736242,79.48467184237383,0.43930323090690093,0.08305124421782466,0.010083096735781095,0.17156959762575677,0.12150893976458628,0.0,10
town05_high_res_no_noise_20260204_182313.json,town05,high_res_no_noise,41.906235215626445,67.53556217636057,0.58265,0.057967768287354705,0.0,0.21168850317851082,0.16005727278805712,0.0,10
town05_no_noise_20260204_182323.json,town05,no_noise,54.07761989342242,72.587885320992,0.7207257558901106,0.15038793882701648,0.007242155803417309,0.01191960371594173,0.17877668825752493,0.0,10
