run_id,model,segment,curve,alpha,epsilon_smooth,epsilon_bound,kappa,n_triples,satisfied,violation_ratio
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,0.7,4399,4318,0.018413275744487367
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,0.8,4399,4323,0.017276653784951135
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,0.9,4399,4328,0.016140031825414902
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.0,4399,4330,0.015685383041600387
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.1,4399,4330,0.015685383041600387
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.2,4399,4333,0.015003409865878559
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.3,4399,4335,0.014548761082064154
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.4,4399,4337,0.01409411229824964
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.5,4399,4338,0.013866787906342326
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.6,4399,4338,0.013866787906342326
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.7,4399,4338,0.013866787906342326
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.8,4399,4340,0.01341213912252781
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,1.9,4399,4342,0.012957490338713296
20251217_184957,autumn,HMB_1,Upsampled,0.5,0.01,0.02,2.0,4399,4343,0.012730165946806093
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.0,15734,7639,0.5144909114020593
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.1,15734,8264,0.47476801830430915
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.2,15734,8864,0.4366340409304691
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.3,15734,9485,0.3971653743485446
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.4,15734,10075,0.3596669632642685
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.5,15734,10601,0.326236176433202
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.6,15734,11028,0.29909749586881906
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.7,15734,11392,0.2759628829286894
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.8,15734,11619,0.26153552815558667
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,0.9,15734,11794,0.25041311808821665
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.0,15734,11931,0.24170585992118976
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.1,15734,12029,0.23547731028346253
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.2,15734,12120,0.22969365704843014
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.3,15734,12190,0.2252446930214821
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.4,15734,12247,0.22162196517096733
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.5,15734,12289,0.21895258675479856
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.6,15734,12321,0.21691877462819376
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.7,15734,12357,0.21463073598576332
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.8,15734,12381,0.21310537689080966
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,1.9,15734,12406,0.2115164611668997
20251217_184957,autumn,HMB_2,Mixed-stream,0.5,0.01,0.02,2.0,15734,12431,0.20992754544298975
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.0,15734,12448,0.20884708275073094
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.1,15734,13133,0.16531079191559683
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.2,15734,13659,0.13188000508453035
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.3,15734,13997,0.11039786449726707
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.4,15734,14247,0.09450870725816707
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.5,15734,14408,0.08427608999618663
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.6,15734,14554,0.07499682216855219
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.7,15734,14636,0.06978517859412736
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.8,15734,14708,0.0652091013092666
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,0.9,15734,14749,0.06260327952205413
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.0,15734,14782,0.06050591076649292
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.1,15734,14814,0.058472098639888115
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.2,15734,14839,0.05688318291597816
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.3,15734,14861,0.05548493707893731
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.4,15734,14879,0.054340917757722096
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.5,15734,14892,0.053514681581288914
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.6,15734,14900,0.05300622854963777
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.7,15734,14911,0.05230710563111729
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.8,15734,14918,0.05186220922842255
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,1.9,15734,14932,0.05097241642303296
20251217_184957,autumn,HMB_2,Inserted-only,0.5,0.01,0.02,2.0,15734,14939,0.05052752002033811
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.0,15734,12434,0.20973687555612053
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.1,15734,13597,0.13582051607982715
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.2,15734,14339,0.08866149739417817
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.3,15734,14743,0.06298461929579258
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.4,15734,14965,0.04887504766747175
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.5,15734,15079,0.041629591966442114
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.6,15734,15152,0.03698995805262484
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.7,15734,15215,0.032985890428371634
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.8,15734,15247,0.030952078301766828
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,0.9,15734,15279,0.028918266175162022
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.0,15734,15315,0.0266302275327317
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.1,15734,15324,0.026058217872124034
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.2,15734,15331,0.025613321469429295
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.3,15734,15337,0.025231981695690853
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.4,15734,15342,0.024914198550908817
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.5,15734,15351,0.024342188890301264
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.6,15734,15354,0.024151519003432043
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.7,15734,15357,0.02396084911656282
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.8,15734,15362,0.023643065971780897
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,1.9,15734,15366,0.023388839455955268
20251217_184957,autumn,HMB_2,Upsampled,0.5,0.01,0.02,2.0,15734,15371,0.023071056311173233
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.0,5277,2644,0.4989577411407997
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.1,5277,2852,0.4595414061019518
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.2,5277,3055,0.42107257911692253
20251217_184957,autumn,HMB_3,Mixed-stream,0.5,0.01,0.02,0.3,5277,3296,0.3754026909228728
